MODELYEAR,MAKE,MODEL,VEHICLECLASS,ENGINESIZE,FUELCONSUMPTION,CO2EMISSIONS
2014,BMW,428i COUPE,COMPACT,2,6.7,200
2014,BMW,428i xDRIVE COUPE,COMPACT,2,7.2,209
2014,BMW,435i COUPE,COMPACT,3,7.3,221
2014,BMW,435i COUPE,COMPACT,3,7.9,230
2014,BMW,435i xDRIVE COUPE,COMPACT,3,7.8,228
2014,BMW,435i xDRIVE COUPE,COMPACT,3,8.3,237
2014,BMW,528i,MID-SIZE,2,7,202
2014,BMW,528i xDRIVE,MID-SIZE,2,7.2,209
2014,BMW,535d xDRIVE,MID-SIZE,3,6.4,213
2014,BMW,535i xDRIVE,MID-SIZE,3,8,232
2014,BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3,8.6,246
2014,BMW,550i xDRIVE,MID-SIZE,4.4,9.6,281
2014,BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,9.8,292
2014,BMW,640i xDRIVE GRAN COUPE,COMPACT,3,8,232
2014,BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,9.8,292
2014,BMW,650i xDRIVE COUPE,COMPACT,4.4,9.6,281
2014,BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,9.8,292
2014,BMW,740Li xDRIVE,FULL-SIZE,3,8.6,246
2014,BMW,750i xDRIVE,FULL-SIZE,4.4,9.8,292
2014,BMW,750Li xDRIVE,FULL-SIZE,4.4,9.8,292
2014,BMW,760Li,FULL-SIZE,6,11.5,356
2014,BMW,ACTIVEHYBRID 3,COMPACT,3,7.1,191
2014,BMW,ACTIVEHYBRID 5,MID-SIZE,3,7.9,214
2014,BMW,ACTIVEHYBRID 7L,FULL-SIZE,3,7.6,212
2014,BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,9.8,292
2014,BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,9.8,292
2014,BMW,M5,MID-SIZE,4.4,11.5,338
2014,BMW,M5,MID-SIZE,4.4,10.9,317
2014,BMW,M6,COMPACT,4.4,11.5,338
2014,BMW,M6,COMPACT,4.4,10.9,317
2014,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,11.5,338
2014,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,10.9,317
2014,BMW,M6 GRAN COUPE,COMPACT,4.4,11.5,338
2014,BMW,M6 GRAN COUPE,COMPACT,4.4,10.9,317
2014,BMW,X1 xDRIVE28i,SUV - SMALL,2,7.2,209
2014,BMW,X1 xDRIVE35i,SUV - SMALL,3,8.9,260
2014,BMW,X3 xDRIVE28i,SUV - SMALL,2,8.5,230
2014,BMW,X3 xDRIVE35i,SUV - SMALL,3,9.1,253
2014,BMW,X5 xDRIVE35i,SUV - STANDARD,3,8.8,255
2014,BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,10.9,320
2014,BMW,X6 M,SUV - STANDARD,4.4,13.7,370
2014,BMW,X6 xDRIVE35i,SUV - STANDARD,3,9.8,274
2014,BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,11.3,324
2014,BMW,Z4 sDRIVE28i,TWO-SEATER,2,7.1,209
2014,BMW,Z4 sDRIVE28i,TWO-SEATER,2,6.7,200
2014,BMW,Z4 sDRIVE35i,TWO-SEATER,3,10.1,278
2014,BMW,Z4 sDRIVE35i,TWO-SEATER,3,9,253
2014,BMW,Z4 sDRIVE35is,TWO-SEATER,3,10.1,278
2014,BUICK,ENCLAVE,SUV - STANDARD,3.6,9.9,283
2014,BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,10.2,290
2014,BUICK,ENCORE,SUV - SMALL,1.4,7.2,196
2014,BUICK,ENCORE AWD,SUV - SMALL,1.4,8,212
2014,BUICK,LACROSSE,MID-SIZE,3.6,8.7,264
2014,BUICK,LACROSSE,MID-SIZE,3.6,12.2,250
2014,BUICK,LACROSSE AWD,MID-SIZE,3.6,8.9,264
2014,BUICK,LACROSSE AWD,MID-SIZE,3.6,13,264
2014,BUICK,LACROSSE eASSIST,MID-SIZE,2.4,6.5,189
2014,BUICK,REGAL,MID-SIZE,2,7.9,228
2014,BUICK,REGAL,MID-SIZE,2,7.5,225
2014,BUICK,REGAL AWD,MID-SIZE,2,8.7,246
2014,BUICK,REGAL eASSIST,MID-SIZE,2.4,6.5,189
2014,BUICK,VERANO,COMPACT,2,7.9,228
2014,BUICK,VERANO,COMPACT,2,7.5,225
2014,BUICK,VERANO,COMPACT,2.4,7.4,218
2014,CADILLAC,ATS,COMPACT,2,7.5,221
2014,CADILLAC,ATS,COMPACT,2,7.9,235
2014,CADILLAC,ATS,COMPACT,2.5,7.2,207
2014,CADILLAC,ATS,COMPACT,3.6,8.5,251
2014,CADILLAC,ATS AWD,COMPACT,2,8.1,232
2014,CADILLAC,ATS AWD,COMPACT,3.6,9,260
2014,CADILLAC,CTS COUPE,MID-SIZE,3.6,8.7,258
2014,CADILLAC,CTS COUPE AWD,MID-SIZE,3.6,9,262
2014,CADILLAC,CTS SEDAN,MID-SIZE,2,7.9,232
2014,CADILLAC,CTS SEDAN,MID-SIZE,3.6,8.2,248
2014,CADILLAC,CTS SEDAN AWD,MID-SIZE,2,8.5,248
2014,CADILLAC,CTS SEDAN AWD,MID-SIZE,3.6,9,260
2014,CADILLAC,CTS SEDAN Vsport,MID-SIZE,3.6,9.9,294
2014,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3,8.9,253
2014,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.6,8.9,260
2014,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3,9.1,255
2014,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.6,9,262
2014,CADILLAC,CTS-V COUPE,MID-SIZE,6.2,12.9,382
2014,CADILLAC,CTS-V COUPE,MID-SIZE,6.2,12.5,340
2014,CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,12.9,382
2014,CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,12.5,340
2014,CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,12.9,382
2014,CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,12.5,340
2014,CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,11.8,338
2014,CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,16.1,322
2014,CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,13.4,377
2014,CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,17.8,354
2014,CADILLAC,SRX,SUV - STANDARD,3.6,9.8,283
2014,CADILLAC,SRX AWD,SUV - STANDARD,3.6,10.4,294
2014,CADILLAC,XTS,FULL-SIZE,3.6,8.6,262
2014,CADILLAC,XTS AWD,FULL-SIZE,3.6,9.1,271
2014,CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,9.8,290
2014,CHEVROLET,CAMARO,COMPACT,3.6,8.7,258
2014,CHEVROLET,CAMARO,COMPACT,3.6,8.6,269
2014,CHEVROLET,CAMARO 2LS,COMPACT,3.6,7.9,242
2014,CHEVROLET,CAMARO SS,COMPACT,6.2,9.8,294
2014,CHEVROLET,CAMARO SS,COMPACT,6.2,9.9,292
2014,CHEVROLET,CAMARO ZL1,COMPACT,6.2,12.9,382
2014,CHEVROLET,CAMARO ZL1,COMPACT,6.2,12.5,340
2014,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8.5,276
2014,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8.2,258
2014,CHEVROLET,CRUZE,MID-SIZE,1.4,6.3,179
2014,CHEVROLET,CRUZE,MID-SIZE,1.4,6.3,179
2014,CHEVROLET,CRUZE,MID-SIZE,1.8,6.7,202
2014,CHEVROLET,CRUZE,MID-SIZE,1.8,6.5,189
2014,CHEVROLET,CRUZE DIESEL,MID-SIZE,2,5.1,192
2014,CHEVROLET,CRUZE ECO,MID-SIZE,1.4,6,177
2014,CHEVROLET,CRUZE ECO,MID-SIZE,1.4,5.6,163
2014,CHEVROLET,EQUINOX,SUV - SMALL,2.4,7.3,209
2014,CHEVROLET,EQUINOX,SUV - SMALL,3.6,9.6,276
2014,CHEVROLET,EQUINOX,SUV - SMALL,3.6,13.1,259
2014,CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,8.2,230
2014,CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,9.9,290
2014,CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,13.6,272
2014,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,4.3,12.7,347
2014,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,13.4,366
2014,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,17.7,334
2014,CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,14.2,380
2014,CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,18.8,344
2014,CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,13.9,380
2014,CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,18.5,344
2014,CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,14.2,380
2014,CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,19.3,362
2014,CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,13.9,380
2014,CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,18.5,344
2014,CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,14.2,380
2014,CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,19.3,362
2014,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,4.8,14.2,414
2014,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6,15,432
2014,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6,20.4,411
2014,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,4.8,14.3,419
2014,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6,15,435
2014,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6,20.5,413
2014,CHEVROLET,IMPALA,FULL-SIZE,2.5,7.5,221
2014,CHEVROLET,IMPALA,FULL-SIZE,3.6,8.2,244
2014,CHEVROLET,IMPALA,FULL-SIZE,3.6,11.3,229
2014,CHEVROLET,IMPALA ECO,FULL-SIZE,2.4,7,200
2014,CHEVROLET,MALIBU,MID-SIZE,2,7.9,228
2014,CHEVROLET,MALIBU,MID-SIZE,2.5,6.4,184
2014,CHEVROLET,ORLANDO,SUV - SMALL,2.4,8.6,244
2014,CHEVROLET,ORLANDO,SUV - SMALL,2.4,8.3,235
2014,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,9.9,271
2014,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,14.2,269
2014,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,10.3,292
2014,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,13.7,270
2014,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,11.4,324
2014,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,10.6,290
2014,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,15.1,285
2014,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,10.6,299
2014,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,14.2,277
2014,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,11.7,329
2014,CHEVROLET,SONIC,COMPACT,1.4,6.7,184
2014,CHEVROLET,SONIC,COMPACT,1.4,6.2,173
2014,CHEVROLET,SONIC,COMPACT,1.8,6.6,191
2014,CHEVROLET,SONIC,COMPACT,1.8,6.7,182
2014,CHEVROLET,SONIC 5,MID-SIZE,1.4,6.7,184
2014,CHEVROLET,SONIC 5,MID-SIZE,1.4,6.2,172
2014,CHEVROLET,SONIC 5,MID-SIZE,1.8,6.6,191
2014,CHEVROLET,SONIC 5,MID-SIZE,1.8,6.7,182
2014,CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,7,191
2014,CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,7,182
2014,CHEVROLET,SONIC RS,COMPACT,1.4,7,191
2014,CHEVROLET,SONIC RS,COMPACT,1.4,7,182
2014,CHEVROLET,SPARK,SUBCOMPACT,1.2,6,159
2014,CHEVROLET,SPARK,SUBCOMPACT,1.2,6,159
2014,CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,11.1,317
2014,CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,14.6,294
2014,CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,11.1,317
2014,CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,14.6,294
2014,CHEVROLET,TAHOE,SUV - STANDARD,5.3,11.1,317
2014,CHEVROLET,TAHOE,SUV - STANDARD,5.3,14.6,294
2014,CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,11.1,317
2014,CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,14.6,294
2014,CHEVROLET,TRAVERSE,SUV - STANDARD,3.6,9.9,283
2014,CHEVROLET,TRAVERSE AWD,SUV - STANDARD,3.6,10.2,290
2014,CHEVROLET,TRAX,SUV - SMALL,1.4,7.1,193
2014,CHEVROLET,TRAX,SUV - SMALL,1.4,6.8,186
2014,CHEVROLET,TRAX AWD,SUV - SMALL,1.4,7.8,207
2014,CHRYSLER,300,FULL-SIZE,3.6,7.7,237
2014,CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,8.2,232
2014,CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,8.1,246
2014,CHRYSLER,200 CONVERTIBLE FFV,COMPACT,3.6,8.1,242
2014,CHRYSLER,200 CONVERTIBLE FFV,COMPACT,3.6,11.2,230
2014,CHRYSLER,200 SEDAN,MID-SIZE,2.4,8,225
2014,CHRYSLER,200 SEDAN,MID-SIZE,2.4,7.6,230
2014,CHRYSLER,200 SEDAN FFV,MID-SIZE,3.6,8.1,242
2014,CHRYSLER,200 SEDAN FFV,MID-SIZE,3.6,11.2,230
2014,CHRYSLER,300 (MDS),FULL-SIZE,5.7,9.2,294
2014,CHRYSLER,300 AWD,FULL-SIZE,3.6,8.6,251
2014,CHRYSLER,300 AWD (MDS),FULL-SIZE,5.7,10,308
2014,CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,8.6,251
2014,CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,11.7,237
2014,CHRYSLER,300 FFV,FULL-SIZE,3.6,7.7,237
2014,CHRYSLER,300 FFV,FULL-SIZE,3.6,10.3,222
2014,CHRYSLER,300 SRT (MDS),FULL-SIZE,6.4,10.3,317
2014,CHRYSLER,TOWN & COUNTRY FFV,MINIVAN,3.6,9.5,276
2014,CHRYSLER,TOWN & COUNTRY FFV,MINIVAN,3.6,13.3,269
2014,DODGE,AVENGER,MID-SIZE,2.4,8,225
2014,DODGE,AVENGER,MID-SIZE,2.4,7.6,230
2014,DODGE,AVENGER FFV,MID-SIZE,3.6,8.1,242
2014,DODGE,AVENGER FFV,MID-SIZE,3.6,11.2,230
2014,DODGE,CHALLENGER,MID-SIZE,3.6,8.7,258
2014,DODGE,CHALLENGER,MID-SIZE,5.7,10,301
2014,DODGE,CHALLENGER (MDS),MID-SIZE,5.7,9.2,294
2014,DODGE,CHALLENGER SRT,MID-SIZE,6.4,10.4,320
2014,DODGE,CHALLENGER SRT (MDS),MID-SIZE,6.4,10.3,317
2014,DODGE,CHARGER,FULL-SIZE,3.6,8.7,258
2014,DODGE,CHARGER,FULL-SIZE,3.6,7.7,237
2014,DODGE,CHARGER (MDS),FULL-SIZE,5.7,9.2,294
2014,DODGE,CHARGER AWD,FULL-SIZE,3.6,8.6,251
2014,DODGE,CHARGER AWD (MDS),FULL-SIZE,5.7,10,308
2014,DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,8.6,251
2014,DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,11.7,237
2014,DODGE,CHARGER FFV,FULL-SIZE,3.6,8.7,258
2014,DODGE,CHARGER FFV,FULL-SIZE,3.6,12.6,251
2014,DODGE,CHARGER FFV,FULL-SIZE,3.6,7.6,235
2014,DODGE,CHARGER FFV,FULL-SIZE,3.6,10.3,222
2014,DODGE,CHARGER SRT (MDS),FULL-SIZE,6.4,10.3,317
2014,DODGE,DART,MID-SIZE,2,6.5,186
2014,DODGE,DART,MID-SIZE,2.4,6.8,198
2014,DODGE,DART,MID-SIZE,2.4,6.7,202
2014,DODGE,DART FFV,MID-SIZE,2,7,198
2014,DODGE,DART FFV,MID-SIZE,2,9.8,195
2014,DODGE,DART GT,MID-SIZE,2.4,7.5,212
2014,DODGE,DART GT,MID-SIZE,2.4,7,202
2014,DODGE,DART TURBO AERO,MID-SIZE,1.4,5.9,168
2014,DODGE,DART TURBO AERO,MID-SIZE,1.4,5.8,168
2014,DODGE,DURANGO AWD (MDS),SUV - STANDARD,5.7,10.8,331
2014,DODGE,DURANGO AWD FFV,SUV - STANDARD,3.6,9.8,278
2014,DODGE,DURANGO AWD FFV,SUV - STANDARD,3.6,13,250
2014,DODGE,GRAND CARAVAN FFV,MINIVAN,3.6,9.4,271
2014,DODGE,GRAND CARAVAN FFV,MINIVAN,3.6,13.1,264
2014,DODGE,JOURNEY,SUV - SMALL,2.4,9.1,255
2014,DODGE,JOURNEY AWD,SUV - SMALL,3.6,9.9,285
2014,DODGE,JOURNEY FFV,SUV - SMALL,3.6,9.4,276
2014,DODGE,JOURNEY FFV,SUV - SMALL,3.6,12.9,259
2014,FIAT,500 ABARTH CABRIO,MINICOMPACT,1.4,6.9,179
2014,FIAT,500 ABARTH HATCHBACK,MINICOMPACT,1.4,6.9,179
2014,FIAT,500 CABRIO,MINICOMPACT,1.4,6.9,182
2014,FIAT,500 CABRIO,MINICOMPACT,1.4,6.3,166
2014,FIAT,500 CABRIO TURBO,MINICOMPACT,1.4,6.9,179
2014,FIAT,500 HATCHBACK,MINICOMPACT,1.4,6.9,182
2014,FIAT,500 HATCHBACK,MINICOMPACT,1.4,5.9,156
2014,FIAT,500 HATCHBACK TURBO,MINICOMPACT,1.4,6.9,179
2014,FIAT,500L TURBO,STATION WAGON - SMALL,1.4,7.2,200
2014,FIAT,500L TURBO,STATION WAGON - SMALL,1.4,7.2,193
2014,FORD,C-MAX HYBRID,FULL-SIZE,2,6.4,138
2014,FORD,E150 VAN FFV,VAN - CARGO,4.6,14.4,373
2014,FORD,E150 VAN FFV,VAN - CARGO,4.6,19.2,350
2014,FORD,E150 VAN FFV,VAN - CARGO,5.4,14.7,396
2014,FORD,E150 VAN FFV,VAN - CARGO,5.4,19.6,360
2014,FORD,E150 WAGON FFV,VAN - PASSENGER,4.6,14.6,386
2014,FORD,E150 WAGON FFV,VAN - PASSENGER,4.6,20,368
2014,FORD,E350 WAGON,VAN - PASSENGER,6.8,17.8,488
2014,FORD,E350 WAGON FFV,VAN - PASSENGER,5.4,15.5,421
2014,FORD,E350 WAGON FFV,VAN - PASSENGER,5.4,20.5,382
2014,FORD,EDGE,SUV - SMALL,2,7.9,225
2014,FORD,EDGE,SUV - SMALL,3.5,8.7,248
2014,FORD,EDGE AWD,SUV - SMALL,3.5,9.3,264
2014,FORD,EDGE AWD,SUV - SMALL,3.7,10.4,281
2014,FORD,ESCAPE,SUV - SMALL,1.6,7.4,209
2014,FORD,ESCAPE,SUV - SMALL,2,8,221
2014,FORD,ESCAPE,SUV - SMALL,2.5,7.5,216
2014,FORD,ESCAPE AWD,SUV - SMALL,1.6,7.9,214
2014,FORD,ESCAPE AWD,SUV - SMALL,2,8.5,230
2014,FORD,EXPEDITION 4X4 FFV,SUV - STANDARD,5.4,13.3,368
2014,FORD,EXPEDITION 4X4 FFV,SUV - STANDARD,5.4,18,346
2014,FORD,EXPLORER,SUV - STANDARD,2,8.3,235
2014,FORD,EXPLORER AWD,SUV - STANDARD,3.5,10.7,299
2014,FORD,EXPLORER FFV,SUV - STANDARD,3.5,9.7,274
2014,FORD,EXPLORER FFV,SUV - STANDARD,3.5,12.9,254
2014,FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,10.3,288
2014,FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,13.9,267
2014,FORD,F150,PICKUP TRUCK - STANDARD,3.5,10.6,292
2014,FORD,F150,PICKUP TRUCK - STANDARD,3.5,10.6,294
2014,FORD,F150,PICKUP TRUCK - STANDARD,6.2,12.9,366
2014,FORD,F150 4X4,PICKUP TRUCK - STANDARD,3.5,11.3,317
2014,FORD,F150 4X4,PICKUP TRUCK - STANDARD,3.5,11,308
2014,FORD,F150 4X4,PICKUP TRUCK - STANDARD,6.2,14.4,402
2014,FORD,F150 FFV,PICKUP TRUCK - STANDARD,3.7,10.3,283
2014,FORD,F150 FFV,PICKUP TRUCK - STANDARD,3.7,13.7,264
2014,FORD,F150 FFV,PICKUP TRUCK - STANDARD,3.7,10.3,283
2014,FORD,F150 FFV,PICKUP TRUCK - STANDARD,3.7,13.7,264
2014,FORD,F150 FFV,PICKUP TRUCK - STANDARD,5,12.3,336
